hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat_charg1,x_bat_charg2,x_bat_charg3,x_bat_charg4,x_bat_charg5,x_bat_disch1,x_bat_disch2,x_bat_disch3,x_bat_disch4,x_bat_disch5
11,68.2328,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,166.9354275271276,88.9871006036082,154.895847893819,187.25637772131242,96.69024,86.51232,236.63664000000003,32.38723374586698,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,0.0,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,20.0,5.0
12,68.63037500000002,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,161.9204984308834,44.9760281518146,128.2680108500288,164.5330945075574,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,0.0,294.603075,0.0,81.30875694028418,158.63242499999998,0.0,62.949375,120.8628,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,7.499999999999989,5.0
13,68.63037500000002,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,155.94088317479938,29.2907317833058,125.2943954963214,153.1642899162454,95.68305,85.61115000000001,234.171675,171.22230000000002,0.0,0.0,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,118.23282537067197,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,20.0,5.0
14,68.63037500000002,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,147.4501265881818,99.6239445412086,137.4807773689476,145.0911684154878,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,120.8628,78.6672669138257,0.0,0.0,171.22230000000002,0.0,0.0,0.0,0.0,0.0,15.000000000000004,5.000000000000001,4.999999999999992,0.0,2.499999999999996
15,69.42552499999965,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,144.04566449741182,119.05168571403759,136.3106919442788,142.282342103312,93.66867,83.80881000000001,229.24174500000004,0.0,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,118.31832,108.45846000000002,147.8979,150.362865,36.78614925904009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,69.42552500000001,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,149.04204691157,104.6194759713762,131.205581477533,145.4725438713208,93.66867,83.80881000000001,229.24174500000004,167.61762000000002,273.61111500000004,86.27377500000001,281.79177323179965,157.75776000000002,110.923425,0.0,64.08909000000001,61.62412500000001,118.31832,108.45846000000002,0.0,150.362865,167.61762000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,67.040075,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,136.4638483567012,115.3398600015912,130.63002157685818,146.5181055082308,99.71181,0.0,54.468020443381405,178.43166,291.263445,91.839825,307.007415,167.93568,118.07977499999998,165.31168499999998,0.0,0.0,125.95176,115.45578,157.4397,160.063695,178.43166,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,20.0,5.0
18,66.6425,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,131.29696583610578,145.2155178245978,134.65569414915558,147.4061532897756,100.719,0.0,195.3923310996347,180.234,294.20550000000003,92.7675,310.1085,0.0,119.2725,166.9815,68.91300000000001,66.2625,127.224,116.622,0.0,161.6805,180.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,66.64250000000018,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,146.8512719174414,156.85887933218382,98.1546469945702,156.6726735941814,100.719,0.0,33.674971838376905,180.234,294.20550000000003,92.7675,310.1085,169.632,119.2725,0.0,68.91300000000001,66.2625,127.224,116.622,159.03,161.6805,180.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,68.2328,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,144.814719052018,163.3102055747104,120.8379276369738,153.6003097907472,96.69024,86.51232,236.63664000000003,173.02464,0.0,33.210042054449474,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,122.13504,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,70.220675,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,147.2975681129556,163.6927839163352,138.6314679351902,146.5253039416618,0.0,82.00647000000001,224.311815,164.01294,267.727005,84.418425,183.6658239061427,154.36512,108.537975,151.95316499999998,62.71083,60.298875,115.77384,106.12602,144.7173,147.129255,164.01294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,21.99915,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,126.31282301553179,157.047540350943,163.3062665644284,154.949000767906,83.59676999999999,74.79711,204.59209500000003,149.59422,244.190565,76.99702500000001,257.390055,140.79456,98.996175,138.594645,57.197790000000005,54.997875,105.59592,96.79626,131.9949,134.194815,22.294000698808915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,19.348650000000003,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,81.06283972484971,124.8787938249782,122.9330067900362,163.2727389016436,151.6486957584922,73.52486999999999,65.78541,179.94244500000002,131.57082,214.770015,0.0,226.379205,123.83136000000009,87.068925,121.896495,50.30649,48.371625,92.87352,85.13406,116.0919,118.026765,131.57082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16.698150000000002,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,85.23511781351982,0.0,137.862201651255,152.791626268359,161.5720097428156,128.6558945240508,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
